,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
344,344,24,13,2,53.78349304199219,2,53.19954681396485,0.5839462280273366
345,345,6,5,4,10.667438507080078,4,8.833693504333496,1.833745002746582
346,346,21,15,3,59.41600799560547,3,56.28086853027344,3.1351394653320312
347,347,16,8,8,39.03825378417969,8,37.02922821044922,2.0090255737304688
348,348,7,4,4,23.69477081298828,4,22.54521942138672,1.1495513916015625
349,349,8,5,5,29.457164764404297,5,23.189468383789062,6.267696380615234
350,350,28,11,9,95.29946899414062,9,100.2284698486328,-4.929000854492173
351,351,10,7,1,38.1679573059082,1,33.422462463378906,4.745494842529297
352,352,5,5,9,15.016716003417969,9,12.938243865966797,2.078472137451172
353,353,10,9,3,31.24106216430664,3,32.44325256347656,-1.2021903991699219
354,354,5,4,1,12.431535720825195,1,9.927020072937012,2.5045156478881836
355,355,11,8,4,44.18521118164063,4,39.28854751586914,4.8966636657714915
356,356,9,6,6,13.070145606994627,6,11.421091079711914,1.649054527282713
357,357,34,12,5,68.77333068847656,5,65.32230377197266,3.4510269165039062
358,358,9,9,10,39.52287292480469,10,34.414363861083984,5.108509063720703
359,359,9,7,4,18.51787567138672,4,17.175161361694336,1.3427143096923828
360,360,5,3,6,14.059354782104492,6,16.14622688293457,-2.086872100830078
361,361,6,7,3,16.588214874267578,3,14.329903602600098,2.2583112716674805
362,362,34,16,8,124.15533447265624,8,126.6277313232422,-2.472396850585966
363,363,4,4,9,9.893271446228027,9,6.837006568908691,3.056264877319336
364,364,10,11,9,35.4420280456543,9,35.199466705322266,0.24256134033203125
365,365,5,5,10,9.726954460144045,10,5.597451210021973,4.129503250122072
366,366,8,4,7,22.332599639892575,7,19.6861572265625,2.6464424133300746
367,367,38,16,5,84.18550109863281,5,83.10867309570312,1.0768280029296875
368,368,3,5,9,13.270949363708496,9,11.333844184875488,1.9371051788330078
369,369,6,4,1,20.838180541992188,1,19.462501525878903,1.3756790161132848
370,370,34,10,9,68.16165161132812,9,66.61177062988281,1.5498809814453125
371,371,13,9,7,34.070064544677734,7,33.4661979675293,0.6038665771484375
372,372,31,10,9,65.7668685913086,9,61.99139404296875,3.7754745483398438
373,373,37,13,3,110.54936981201172,3,105.44972229003906,5.099647521972656
374,374,45,17,2,128.01968383789062,2,122.03538513183594,5.9842987060546875
